Checking 175 components...


=== COMPLIANCE SUMMARY ===

Total Components: 175
Compliant (≥80%): 3
Partial (50-79%): 169
Non-Compliant (<50%): 3
Errors: 0


=== COMPLIANCE BY COMPONENT ===

Component                     Compliance     Status
------------------------------------------------------------
XWUIButton                    86.4%          ✓ Compliant
XWUIInput                     86.4%          ✓ Compliant
XWUIAlert                     83.3%          ✓ Compliant
XWUIMasonry                   78.8%          ⚠ Partial
XWUIIcon                      77.3%          ⚠ Partial
XWUIPDFViewer                 77.3%          ⚠ Partial
XWUICopyButton                75.8%          ⚠ Partial
XWUIFocusTrap                 75.8%          ⚠ Partial
XWUIHidden                    75.8%          ⚠ Partial
XWUIImage                     75.8%          ⚠ Partial
XWUIMediaQuery                75.8%          ⚠ Partial
XWUINativeSelect              75.8%          ⚠ Partial
XWUISplitButton               75.8%          ⚠ Partial
XWUITransferList              75.8%          ⚠ Partial
XWUIAppShell                  74.2%          ⚠ Partial
XWUIBottomSheet               74.2%          ⚠ Partial
XWUIChannelList               74.2%          ⚠ Partial
XWUIChatInput                 74.2%          ⚠ Partial
XWUICodeBlock                 74.2%          ⚠ Partial
XWUIDebugToolbar              74.2%          ⚠ Partial
XWUIDiagram                   74.2%          ⚠ Partial
XWUIDiffEditor                74.2%          ⚠ Partial
XWUIFilters                   74.2%          ⚠ Partial
XWUILocationInput             74.2%          ⚠ Partial
XWUIMessageBubble             74.2%          ⚠ Partial
XWUINavigationRail            74.2%          ⚠ Partial
XWUIPivotTable                74.2%          ⚠ Partial
XWUIReactionSelector          74.2%          ⚠ Partial
XWUIResizablePanel            74.2%          ⚠ Partial
XWUIScriptEditor              74.2%          ⚠ Partial
XWUISignaturePad              74.2%          ⚠ Partial
XWUISkipLink                  74.2%          ⚠ Partial
XWUISortableList              74.2%          ⚠ Partial
XWUISpreadsheet               74.2%          ⚠ Partial
XWUIStickersOverlay           74.2%          ⚠ Partial
XWUITextOverlay               74.2%          ⚠ Partial
XWUIThread                    74.2%          ⚠ Partial
XWUITypingIndicator           74.2%          ⚠ Partial
XWUIAudioEditor               72.7%          ⚠ Partial
XWUIAudioPlayer               72.7%          ⚠ Partial
XWUIAudioRecorder             72.7%          ⚠ Partial
XWUIBottomNavigation          72.7%          ⚠ Partial
XWUIGalleryEditor             72.7%          ⚠ Partial
XWUIGalleryViewer             72.7%          ⚠ Partial
XWUIPhotoEditor               72.7%          ⚠ Partial
XWUIPortfolioDashboard        72.7%          ⚠ Partial
XWUIResourceAllocationChart   72.7%          ⚠ Partial
XWUIStyle                     72.7%          ⚠ Partial
XWUITaskTemplateSelector      72.7%          ⚠ Partial
XWUIVideoEditor               72.7%          ⚠ Partial
XWUIVideoPlayer               72.7%          ⚠ Partial
XWUIVideoRecorder             72.7%          ⚠ Partial
XWUIWorkloadView              72.7%          ⚠ Partial
XWUIBulkActionBar             71.2%          ⚠ Partial
XWUIChart                     71.2%          ⚠ Partial
